codigo,alimento,energia_kcal,carbohidratos_g,proteinas_g,grasas_totales_g,fuente,riga_color,riga_estrellas,riga_descripcion
,,92.0,,1.2,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,212.0,,1.7,7.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,28.0,,1.1,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,23.0,,1.7,0.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,37.0,,3.3,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,25.0,,1.4,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,731.0,,18.1,72.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,17.0,,0.8,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,10.0,,0.6,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,31.0,,2.4,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,22.0,,2.4,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,24.0,,1.6,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,26.0,,2.2,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,24.0,,3.9,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,13.0,,2.5,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,125.0,,6.1,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,99.0,,6.7,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,24.0,,1.9,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,350.0,,20.8,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,576.0,,33.2,44.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,592.0,,34.8,45.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,51.0,,4.2,1.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,10.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,11.0,,0.8,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,715.0,,13.9,67.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,88.0,,2.7,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,88.0,,2.4,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,162.0,,2.9,6.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,15.0,,0.7,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,60.0,,3.7,1.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,221.0,,14.6,1.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,648.0,,22.3,54.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,290.0,42.3,23.9,2.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,89.0,11.9,8.4,0.9,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,45.0,,2.5,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,354.0,,13.8,5.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,341.0,,4.4,1.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,29.0,,1.3,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,2.2,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,54.0,,2.4,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,36.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,58.0,,4.4,0.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,17.0,,2.4,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,16.0,,2.2,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,85.0,,3.5,1.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,356.0,11.2,34.6,24.2,Argenfood - Universidad Nacional de Luján,amarillo,2,Impacto glucémico medio
,,336.0,,2.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,55.0,,0.1,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,20.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,21.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,11.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,23.0,,1.6,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,1.1,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,22.0,,1.0,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,13.0,,0.8,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,16.0,,1.3,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,144.0,,1.5,13.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,58.0,,0.4,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,87.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,99.0,,1.2,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,68.0,,1.1,0.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,56.0,,0.7,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,255.0,,1.9,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,165.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,382.0,,3.4,34.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,57.0,,1.0,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,51.0,,0.5,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,75.0,,0.4,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,40.0,,2.5,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,41.0,,0.8,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,75.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,88.0,,1.4,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,87.0,,0.8,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,73.0,,0.9,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,44.0,,0.9,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,64.0,,0.3,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,26.0,,0.5,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,28.0,,0.6,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,58.0,,0.3,0.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,69.0,,1.2,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,258.0,,1.7,26.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,70.0,,0.7,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,299.0,,2.3,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,26.0,,0.5,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,31.0,,0.5,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,900.0,,,100.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,898.0,,,99.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,899.0,,,99.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,747.0,,,83.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,747.0,,,83.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,504.0,,,56.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,72.0,,15.8,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,92.0,,21.5,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,129.0,,19.2,5.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,100.0,,20.4,2.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,3.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,219.0,,22.0,14.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,83.0,,17.6,1.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,232.0,,22.0,15.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,170.0,,17.0,11.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,95.0,,18.4,2.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,107.0,,17.2,4.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,86.0,,16.0,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,97.0,,19.5,1.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,84.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,80.0,,18.8,0.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,72.0,,17.4,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,149.0,,19.0,8.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,78.0,,17.5,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,146.0,,17.9,7.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,81.0,,17.1,1.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,83.0,,17.9,1.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,215.0,,20.1,14.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,113.0,,19.1,3.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,3.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,90.0,,18.2,1.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,77.0,,18.3,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,86.0,,18.6,1.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,97.0,,17.8,2.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,84.0,,20.2,0.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,96.0,,20.1,1.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,109.0,,17.1,4.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,136.0,,14.0,8.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,1.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,110.0,,18.2,4.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,79.0,,18.1,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,98.0,,18.9,2.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,80.0,,18.5,0.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,79.0,,18.4,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,91.0,,21.0,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,66.0,,13.9,1.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,83.0,,18.8,0.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,97.0,,22.0,0.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,64.0,,11.9,1.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,95.0,,17.6,1.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,84.0,,21.1,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,202.0,,20.2,11.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,212.0,,26.5,11.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,250.0,,19.9,18.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,320.0,,25.2,24.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,473.0,,18.0,44.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,211.0,,20.3,14.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,670.0,,8.3,70.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,454.0,,13.0,44.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,99.0,,18.7,2.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,182.0,,28.0,7.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,88.0,,16.3,2.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,198.0,,23.1,11.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,162.0,,28.4,5.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,168.0,,29.8,5.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,64.0,,15.5,0.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,170.0,,18.4,10.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,189.0,,24.6,10.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,785.0,,0.5,87.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,111.0,,21.0,3.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,224.0,,23.7,14.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,132.0,,19.7,3.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,33.0,,6.8,0.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,116.0,,20.0,4.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,97.0,,21.2,1.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,335.0,,14.0,31.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,137.0,,15.0,8.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,139.0,,27.2,3.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,95.0,,20.0,1.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,171.0,,23.8,8.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,258.0,,25.6,17.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,241.0,,28.1,14.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,233.0,,36.0,9.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,120.0,,20.7,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,197.0,,38.6,4.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,98.0,,19.5,,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,207.0,,37.0,6.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,107.0,,19.0,3.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,231.0,,41.1,6.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,105.0,,18.4,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,236.0,,36.5,9.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,120.0,,21.1,2.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,177.0,,35.1,3.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,103.0,,21.0,1.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,192.0,,35.5,5.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,106.0,,18.4,2.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,203.0,,38.4,5.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,107.0,,18.4,2.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,3.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,4.5,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.1,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.3,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,1.8,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,3.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,1.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,45.7,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.4,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.6,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,1.9,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,2.2,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
,,,,,3.0,Argenfood - Universidad Nacional de Luján,rojo,1,Alto impacto glucémico
